Time,sin,cos,tan
0.1,0.099833417,0.995004165,0.100334672
0.2,0.198669331,0.980066578,0.202710036
0.3,0.295520207,0.955336489,0.30933625
0.4,0.389418342,0.921060994,0.422793219
0.5,0.479425539,0.877582562,0.54630249
0.6,0.564642473,0.825335615,0.684136808
0.7,0.644217687,0.764842187,0.84228838
0.8,0.717356091,0.696706709,1.029638557
0.9,0.78332691,0.621609968,1.260158218
1,0.841470985,0.540302306,1.557407725
1.1,0.89120736,0.453596121,1.964759657
1.2,0.932039086,0.362357754,2.572151622
1.3,0.963558185,0.267498829,3.602102448
1.4,0.98544973,0.169967143,5.797883715
1.5,0.997494987,0.070737202,14.10141995
1.6,0.999573603,-0.029199522,-34.23253274
1.7,0.99166481,-0.128844494,-7.696602139
1.8,0.973847631,-0.227202095,-4.286261675
1.9,0.946300088,-0.323289567,-2.927097515
2,0.909297427,-0.416146837,-2.185039863
2.1,0.863209367,-0.504846105,-1.709846543
2.2,0.808496404,-0.588501117,-1.373823057
2.3,0.745705212,-0.666276021,-1.119213642
2.4,0.675463181,-0.737393716,-0.91601429
2.5,0.598472144,-0.801143616,-0.747022297
2.6,0.515501372,-0.856888753,-0.601596613
2.7,0.42737988,-0.904072142,-0.472727629
2.8,0.33498815,-0.942222341,-0.355529832
2.9,0.239249329,-0.970958165,-0.246405394
3,0.141120008,-0.989992497,-0.142546543
3.1,0.041580662,-0.99913515,-0.041616655
3.2,-0.058374143,-0.998294776,0.058473854
3.3,-0.157745694,-0.98747977,0.159745748
3.4,-0.255541102,-0.966798193,0.264316901
3.5,-0.350783228,-0.936456687,0.37458564
3.6,-0.442520443,-0.896758416,0.49346673
3.7,-0.529836141,-0.848100032,0.624733075
3.8,-0.611857891,-0.790967712,0.773556091
3.9,-0.687766159,-0.725932304,0.94742465
4,-0.756802495,-0.653643621,1.157821282
4.1,-0.818277111,-0.574823947,1.423526483
4.2,-0.871575772,-0.490260821,1.777779775
4.3,-0.916165937,-0.400799172,2.285847877
4.4,-0.951602074,-0.30733287,3.096323781
4.5,-0.977530118,-0.210795799,4.637332055
4.6,-0.993691004,-0.112152527,8.860174896
4.7,-0.999923258,-0.012388663,80.71276297
4.8,-0.996164609,0.087498983,-11.38487065
4.9,-0.982452613,0.186512369,-5.267493066
5,-0.958924275,0.283662185,-3.380515006
5.1,-0.925814682,0.377977743,-2.449389416
5.2,-0.883454656,0.468516671,-1.885641878
5.3,-0.832267442,0.554374336,-1.501273396
5.4,-0.772764488,0.634692876,-1.217540825
5.5,-0.705540326,0.708669774,-0.995584052
5.6,-0.631266638,0.775565879,-0.813943284
5.7,-0.550685543,0.834712785,-0.659730572
5.8,-0.464602179,0.885519517,-0.524666222
5.9,-0.373876665,0.927478431,-0.4031109
6,-0.279415498,0.960170287,-0.291006191
